VOLCANO	LOCATION	ELEV_M	LAT	LONG	ERUPTED	VNUM
Vestmannaeyjar	Iceland-S	279	63.43	-20.28	AD 1900-2005	1702-01=
Eyjafjöll	Iceland-S	1666	63.63	-19.62	AD 0-1899	1702-02=
Katla	Iceland-S	1512	63.63	-19.05	AD 1900-2005	1702-03=
Tindfjallajökull	Iceland-S	1463	63.78	-19.57	Holocene	1702-04=
Torfajökull	Iceland-S	1259	63.92	-19.17	AD 0-1899	1702-05=
Vatnafjöll	Iceland-S	1235	63.92	-19.67	AD 0-1899	1702-06=
Hekla	Iceland-S	1491	63.98	-19.7	AD 1900-2005	1702-07=
Grímsvötn	Iceland-NE	1725	64.42	-17.33	AD 1900-2005	1703-01=
Loki-Fögrufjöll	Iceland-NE	1570	64.48	-17.8	AD 1900-2005	1703-02=
Bárdarbunga	Iceland-NE	2000	64.63	-17.53	AD 1900-2005	1703-03=
Tungnafellsjökull	Iceland-NE	1535	64.73	-17.92	Holocene	1703-04=
Kverkfjöll	Iceland-NE	1920	64.65	-16.72	AD 1900-2005	1703-05=
Askja	Iceland-NE	1516	65.03	-16.75	AD 1900-2005	1703-06=
Fremrinamur	Iceland-NE	939	65.43	-16.65	Holocene	1703-07=
Krafla	Iceland-NE	650	65.73	-16.78	AD 1900-2005	1703-08=
Theistareykjarbunga	Iceland	564	65.88	-16.83	Holocene	1703-09=
Tjörnes Fracture Zone	Iceland-N of	0	66.3	-17.1	AD 0-1899	1703-10=
Öraefajökull	Iceland-SE	2119	64	-16.65	AD 0-1899	1704-01=
Esjufjöll	Iceland-SE	1760	64.27	-16.65	AD 1900-2005	1704-02=
Kolbeinsey Ridge	Iceland-N of	0	66.67	-18.5	AD 0-1899	1705-01=
Jan Mayen	Atlantic-N-Jan Mayen	2277	71.08	-8.17	AD 1900-2005	1706-01=
Unnamed	Arctic Ocean	-1500	88.27	-65.6	Uncertain	1707-01-
Unnamed	Atlantic-N	-1650	49	-34.5	AD 0-1899	1801-02=
Unnamed	Atlantic-N	-2835	39.95	-25.83	Uncertain	1801-03=
Unnamed	Atlantic-N	-4200	38.75	-38.08	AD 0-1899	1801-04=
Flores	Azores	915	39.4	-31.17	Holocene	1802-001
Corvo	Azores	715	39.67	-31.07	Holocene	1802-002
Fayal	Azores	1043	38.6	-28.73	AD 1900-2005	1802-01=
Pico	Azores	2351	38.47	-28.4	AD 0-1899	1802-02=
San Jorge	Azores	1053	38.65	-28.08	AD 1900-2005	1802-03=
Graciosa	Azores	402	39.02	-27.97	Holocene	1802-04=
Terceira	Azores	1023	38.73	-27.32	AD 1900-2005	1802-05=
Don Joao de Castro Bank	Azores	-14	38.23	-26.63	AD 0-1899	1802-07=
Unnamed	Azores	350	37.78	-25.67	AD 0-1899	1802-081
Sete Cidades	Azores	856	37.87	-25.78	AD 0-1899	1802-08=
Agua de Pau	Azores	947	37.77	-25.47	AD 0-1899	1802-09=
Furnas	Azores	805	37.77	-25.32	AD 0-1899	1802-10=
Monaco Bank	Azores	-197	37.6	-25.88	AD 1900-2005	1802-11=
La Palma	Canary Is	2426	28.57	-17.83	AD 1900-2005	1803-01-
Hierro	Canary Is	1500	27.73	-18.03	AD 0-1899	1803-02-
Tenerife	Canary Is	3715	28.27	-16.64	AD 1900-2005	1803-03-
Gran Canaria	Canary Is	1950	28	-15.58	Holocene	1803-04-
Fuerteventura	Canary Is	529	28.36	-14.02	Holocene	1803-05-
Lanzarote	Canary Is	670	29.03	-13.63	AD 0-1899	1803-06-
Fogo	Cape Verde Is	2829	14.95	-24.35	AD 1900-2005	1804-01=
Brava	Cape Verde Is	900	14.85	-24.72	Holocene	1804-02-
Sao Vicente	Cape Verde Is	725	16.85	-24.97	Holocene	1804-04-
Unnamed	Atlantic-C	-1415	7	-21.83	Uncertain	1805-01=
Unnamed	Atlantic-C	-2900	4.2	-21.45	Uncertain	1805-02=
Unnamed	Atlantic-C	-1528	-0.58	-15.83	AD 0-1899	1805-03=
Unnamed	Atlantic-C	-5300	-3.5	-24.5	Uncertain	1805-04=
Ascensión	Atlantic-C	858	-7.95	-14.37	Holocene	1805-05-
Trindade	Atlantic-C	600	-20.51	-29.33	Holocene	1805-051
Tristan da Cunha	Atlantic-S	2060	-37.09	-12.28	AD 1900-2005	1806-01=
Bouvet	Atlantic-S	780	-54.42	3.35	Holocene	1806-02-
Thompson Island	Atlantic-S	0	-53.93	5.5	Uncertain	1806-03-
Young Island	Antarctica	1340	-66.42	162.45	Holocene	1900-011
Sturge Island	Antarctica	1167	-67.4	164.83	Uncertain	1900-012
Buckle Island	Antarctica	1239	-66.8	163.25	AD 0-1899	1900-01=
Peter I Island	Antarctica	1640	-68.85	-90.58	Holocene	1900-029
Penguin Island	Antarctica	180	-62.1	-57.93	AD 1900-2005	1900-031
Deception Island	Antarctica	576	-62.97	-60.65	AD 1900-2005	1900-03=
Paulet	Antarctica	353	-63.58	-55.77	Holocene	1900-041
Bridgeman Island	Antarctica	240	-62.05	-56.75	Uncertain	1900-04=
Seal Nunataks Group	Antarctica	368	-65.03	-60.05	Uncertain	1900-05=
Thule Islands	Antarctica	1075	-59.45	-27.37	AD 1900-2005	1900-07=
Montagu Island	Antarctica	1370	-58.42	-26.33	AD 1900-2005	1900-081
Bristol Island	Antarctica	1100	-59.03	-26.58	AD 1900-2005	1900-08=
Michael	Antarctica	990	-57.78	-26.45	AD 1900-2005	1900-09=
Candlemas Island	Antarctica	550	-57.08	-26.67	AD 1900-2005	1900-10=
Hodson	Antarctica	1005	-56.7	-27.15	Holocene	1900-11=
Leskov Island	Antarctica	190	-56.67	-28.13	Holocene	1900-12=
Zavodovski	Antarctica	551	-56.3	-27.57	AD 0-1899	1900-13=
Protector Shoal	Antarctica	-27	-55.92	-28.08	AD 1900-2005	1900-14-
